Date;Value
01/01/2000;9
01/02/2000;11
01/03/2000;28
01/04/2000;30
01/05/2000;139
01/06/2000;223
01/07/2000;290
01/08/2000;306
01/09/2000;159
01/10/2000;50
01/11/2000;9
01/12/2000;4
01/01/2001;3
01/02/2001;13
01/03/2001;13
01/04/2001;41
01/05/2001;121
01/06/2001;223
01/07/2001;306
01/08/2001;334
01/09/2001;141
01/10/2001;47
01/11/2001;21
01/12/2001;12
01/01/2002;9
01/02/2002;6
01/03/2002;18
01/04/2002;54
01/05/2002;92
01/06/2002;239
01/07/2002;365
01/08/2002;325
01/09/2002;198
01/10/2002;57
01/11/2002;11
01/12/2002;5
01/01/2003;4
01/02/2003;8
01/03/2003;25
01/04/2003;31
01/05/2003;110
01/06/2003;185
01/07/2003;335
01/08/2003;338
01/09/2003;154
01/10/2003;64
01/11/2003;22
01/12/2003;4
01/01/2004;7
01/02/2004;7
01/03/2004;29
01/04/2004;28
01/05/2004;136
01/06/2004;205
01/07/2004;297
01/08/2004;250
01/09/2004;172
01/10/2004;68
01/11/2004;18
01/12/2004;5
01/01/2005;11
01/02/2005;8
01/03/2005;13
01/04/2005;24
01/05/2005;83
01/06/2005;245
01/07/2005;367
01/08/2005;346
01/09/2005;211
01/10/2005;55
01/11/2005;20
01/12/2005;5
01/01/2006;14
01/02/2006;5
01/03/2006;21
01/04/2006;55
01/05/2006;109
01/06/2006;234
01/07/2006;383
01/08/2006;331
01/09/2006;135
01/10/2006;46
01/11/2006;14
01/12/2006;12
01/01/2007;10
01/02/2007;6
01/03/2007;31
01/04/2007;24
01/05/2007;117
01/06/2007;232
01/07/2007;308
01/08/2007;363
01/09/2007;187
01/10/2007;80
01/11/2007;17
01/12/2007;13
01/01/2008;7
01/02/2008;12
01/03/2008;18
01/04/2008;31
01/05/2008;93
01/06/2008;262
01/07/2008;331
01/08/2008;281
01/09/2008;170
01/10/2008;48
01/11/2008;12
01/12/2008;8
01/01/2009;7
01/02/2009;8
01/03/2009;19
01/04/2009;30
01/05/2009;117
01/06/2009;221
01/07/2009;286
01/08/2009;303
01/09/2009;168
01/10/2009;47
01/11/2009;17
01/12/2009;7
01/01/2010;3
01/02/2010;2
01/03/2010;7
01/04/2010;35
01/05/2010;127
01/06/2010;282
01/07/2010;375
01/08/2010;351
01/09/2010;194
01/10/2010;53
01/11/2010;13
01/12/2010;2
01/01/2011;5
01/02/2011;8
01/03/2011;24
01/04/2011;53
01/05/2011;105
01/06/2011;259
01/07/2011;404
01/08/2011;349
01/09/2011;174
01/10/2011;48
01/11/2011;17
01/12/2011;10
01/01/2012;11
01/02/2012;12
01/03/2012;48
01/04/2012;47
01/05/2012;154
01/06/2012;232
01/07/2012;401
01/08/2012;327
01/09/2012;172
01/10/2012;53
01/11/2012;12
01/12/2012;10
01/01/2013;14
01/02/2013;10
01/03/2013;10
01/04/2013;32
01/05/2013;98
01/06/2013;243
01/07/2013;337
01/08/2013;286
01/09/2013;175
01/10/2013;54
01/11/2013;16
01/12/2013;12
01/01/2014;6
01/02/2014;11
01/03/2014;14
01/04/2014;35
01/05/2014;111
01/06/2014;240
01/07/2014;298
01/08/2014;289
01/09/2014;179
01/10/2014;71
01/11/2014;9
01/12/2014;9
01/01/2015;8
01/02/2015;6
01/03/2015;28
01/04/2015;51
01/05/2015;123
01/06/2015;252
01/07/2015;333
01/08/2015;312
01/09/2015;220
01/10/2015;73
01/11/2015;27
01/12/2015;24
01/01/2016;6
01/02/2016;10
01/03/2016;33
01/04/2016;40
01/05/2016;94
01/06/2016;268
01/07/2016;381
01/08/2016;360
01/09/2016;216
01/10/2016;82
01/11/2016;23
01/12/2016;15
01/01/2017;15
01/02/2017;20
01/03/2017;29
01/04/2017;53
01/05/2017;102
01/06/2017;237
01/07/2017;359
01/08/2017;287
01/09/2017;180
01/10/2017;74
01/11/2017;25
01/12/2017;9
01/01/2018;6
01/02/2018;21
01/03/2018;19
01/04/2018;30
01/05/2018;171
01/06/2018;265
01/07/2018;372
01/08/2018;348
01/09/2018;226
01/10/2018;65
01/11/2018;15
01/12/2018;9
01/01/2019;7
01/02/2019;16
01/03/2019;16
01/04/2019;39
01/05/2019;124
01/06/2019;222
01/07/2019;370
01/08/2019;330
01/09/2019;237
01/10/2019;70
01/11/2019;13
01/12/2019;11
01/01/2020;13
01/02/2020;11
01/03/2020;40
01/04/2020;39
01/05/2020;100
01/06/2020;243
01/07/2020;395
01/08/2020;352
01/09/2020;175
01/10/2020;78
01/11/2020;28
01/12/2020;5
01/01/2021;8
